Tarih,Işlem,Urün,Adet,Tutar,Borç,Alacak
2021-01-01,ödeme,0,0,0,0,792
2021-01-10,satınAlma,burgu,165,4,660,0
2021-01-20,satınAlma,tekBombe,141,4,564,0
2021-02-01,satınAlma,çiftBombe,141,4,564,0
2021-02-10,satınAlma,beyazBurgu,50,4,200,0
2021-02-20,satınAlma,beyazBombe,49,4,196,0
2021-03-01,satınAlma,beyazCiftBombe,49,4,196,0
2021-03-10,satınAlma,inceBurgu,185,4,740,0
2021-03-20,satınAlma,kalınBurgu,249,4,996,0
2021-04-01,satınAlma,çiftBombe,240,4,960,0
2021-04-10,satınAlma,tekBombe,130,4,520,0
2021-04-20,satınAlma,burgu,396,4,1584,0
2021-05-01,satınAlma,tekBombe,130,4,520,0
2021-05-10,ödeme,0,0,0,0,5000
2021-05-20,satınAlma,çiftBombe,499,4,1996,0
2021-06-01,satınAlma,burgu,236,4,944,0
2021-06-10,satınAlma,çapraz,492,4,1968,0
2021-06-20,satınAlma,vintageBurgu,507,4,2028,0
2021-07-01,satınAlma,inceYüzük,392,1.2,470.4,0
2021-07-10,satınAlma,inceYüzük,13236,1.2,15883.2,0
2021-07-20,iade,kolye,498,5,0,2490
2021-08-01,ödeme,0,0,0,0,5000
2021-08-10,satınAlma,inceYüzük,7560,1.2,9072,0
2021-08-20,satınAlma,kalınYüzük,949,4,3796,0
2021-09-01,satınAlma,inceYüzük,2360,1.2,2832,0
2021-09-10,satınAlma,çiftBombe,246,1.2,295.2,0
2021-09-20,satınAlma,çiftBombe,322,4,1288,0
2021-10-01,ödeme,0,0,0,0,4000
2021-10-10,satınAlma,inceYüzük,5952,1.2,7142.4,0
2021-10-20,ödeme,0,0,0,0,4940
2021-11-01,ödeme,0,0,0,0,5000
2021-11-10,ödeme,0,0,0,0,3790
2021-11-20,satınAlma,inceYüzük,5112,1.2,6134.4,0
2021-12-01,ödeme,0,0,0,0,8000
2021-12-10,ödeme,0,0,0,0,5000
2021-12-20,ödeme,0,0,0,0,3134
